decision,tier,university_slug,proposed_slug,program_name,department_school,category,evidence_url,placement_url,faculty_directory_url,notes
,A-verified,berkeley,berkeley-haas-bpp,PhD in Business Administration — Business & Public Policy field (Haas),Haas School of Business,business-econ,https://haas.berkeley.edu/phd/academics/business-public-policy/,https://haas.berkeley.edu/phd/academics/business-public-policy/placement/,https://haas.berkeley.edu/groups/bpp/faculty.html,"All three URLs fetched and verified. Evidence page is the official Haas BPP field page, listed alongside the other Haas PhD fields (Accounting, Finance, Marketing, Real Estate, etc.) and clearly active. Placement page shows named placements 2019-2026 (U Chicago 2026, NYU Abu Dhabi 2025, UIUC 2025, O"
,A-verified,chicago,chicago-booth-econ,PhD in Economics (Chicago Booth Stevens Doctoral Program),University of Chicago Booth School of Business,business-econ,https://www.chicagobooth.edu/phd/dissertation-areas/economics,https://www.chicagobooth.edu/phd/career-outcomes,https://www.chicagobooth.edu/phd/dissertation-areas/economics,"Evidence page fetched: official chicagobooth.edu page describing an active PhD dissertation area in Economics within the Stevens Doctoral Program; fields match the claim. Faculty URL (same page) genuinely shows a roster of 20+ named faculty with titles, so it is acceptable as a faculty directory. Pl"
,A-verified,harvard,harvard-hbs-busecon,PhD in Business Economics (Harvard Business School),Harvard Business School (jointly with the Department of Economics; degree via Harvard Griffin GSAS),business-econ,https://www.hbs.edu/doctoral/phd-programs/business-economics,https://www.hbs.edu/doctoral/placement/business-economics,https://www.hbs.edu/faculty/Pages/browse.aspx?faculty=Current,"Evidence URL fetched: official HBS page, currently-offered PhD, quote: 'The Business Economics program is jointly administered by Harvard Business School and the Department of Economics in the Faculty of Arts and Sciences'; admissions via Harvard Griffin GSAS; no discontinuation mention; lists gradu"
,A-verified,maryland,maryland-smith-managerial-econ,"PhD in Business and Management, Managerial Economics specialization (Smith School)","Department of Logistics, Business & Public Policy, Robert H. Smith School of Business",business-econ,https://www.rhsmith.umd.edu/programs/phd/academics/areas-specialization/managerial-economics-me,https://www.rhsmith.umd.edu/programs/phd/academics/areas-specialization/managerial-economics-me,,"Real, currently offered area of specialization within the Smith School PhD — confirmed on both the ME specialization page and the Smith PhD overview page (rhsmith.umd.edu/programs/phd), which lists Managerial Economics among nine areas of specialization across six academic departments. It is a speci"
,A-verified,northwestern,northwestern-kellogg-mecs,PhD in Managerial Economics & Strategy (MECS),Kellogg School of Management (joint: Managerial Economics & Decision Sciences (MEDS) and Strategy departments),business-econ,https://www.kellogg.northwestern.edu/doctoral/programs/managerialeconomicsstrategy/,https://www.kellogg.northwestern.edu/doctoral/placement/jobplacement/,,"Evidence URL verified: official Kellogg page describes a currently-offered 'PhD in Managerial Economics & Strategy (MECS)' offered jointly by the MEDS and Strategy departments; research areas are explicitly economics (game theory, IO, mechanism/market design, health economics, political economy, dev"
,A-verified,nyu,nyu-stern-econ,PhD in Economics (Stern School of Business),"Stern School of Business, Department of Economics",business-econ,https://www.stern.nyu.edu/experience-stern/about/departments-centers-initiatives/academic-departments/economics/academic-programs/phd,https://www.stern.nyu.edu/experience-stern/about/departments-centers-initiatives/academic-departments/economics/academic-programs/phd/placements,https://www.stern.nyu.edu/experience-stern/about/departments-centers-initiatives/academic-departments/economics/people/faculty,"All three URLs fetched and verified 2026-07-14. Evidence page is an official Stern page describing a currently-offered Economics PhD (active Apply link, current-students and job-market-candidate pages, curriculum built on 'the standard economics PhD core -- micro, macro, and econometrics'; contact P"
,A-verified,stanford,stanford-gsb-eap,"PhD in Business Administration, Economic Analysis & Policy field (Stanford GSB)",Stanford Graduate School of Business,business-econ,https://www.gsb.stanford.edu/programs/phd/fields/economic-analysis-policy,https://www.gsb.stanford.edu/programs/phd/placement/academic-placements,https://www.gsb.stanford.edu/faculty-research/faculty,"Fetched all three URLs. Evidence page is official (gsb.stanford.edu), currently live, field name exactly 'Economic Analysis & Policy', and states the field 'prepares students for research careers in economics'; lists active faculty (Akbarpour, Athey, Imbens, Jones, et al.). Placement page verified: "
,A-verified,stanford,stanford-gsb-poliecon,"PhD in Business Administration, Political Economics field (Stanford GSB)",Stanford Graduate School of Business,business-econ,https://www.gsb.stanford.edu/programs/phd/fields/political-economics,https://www.gsb.stanford.edu/programs/phd/placement/academic-placements,https://www.gsb.stanford.edu/faculty-research/faculty,"Fetched all three URLs. Evidence page is official, live, and describes an actively offered GSB PhD field named exactly 'Political Economics'; training combines 'economic theory, econometrics, game theory' with political theory/institutions, grounded in positive political economy. Placement page veri"
,A-verified,ucla,ucla-anderson-gem,PhD in Management - Global Economics and Management (GEM),UCLA Anderson School of Management,business-econ,https://www.anderson.ucla.edu/degrees/phd-program/areas-of-study/global-economics-and-management,https://www.anderson.ucla.edu/degrees/phd-program/placement,https://www.anderson.ucla.edu/degrees/phd-program/areas-of-study/global-economics-and-management/faculty,All three URLs fetched and verified. Evidence page is an official Anderson page describing GEM as one of eight areas of study in the Anderson PhD program; the page itself states 'The Ph.D. Program in Economics is designed for scholars aiming at careers in top academic institutions' with emphasis on 
,A-verified,upenn,upenn-wharton-appecon,PhD in Applied Economics (Wharton),The Wharton School — Departments of Business Economics & Public Policy and Real Estate (jointly run),business-econ,https://doctoral.wharton.upenn.edu/programs-of-study/applied-economics/,https://doctoral.wharton.upenn.edu/career-placement/,https://bepp.wharton.upenn.edu/programs/phd/applied-economics-faculty/,Evidence URL is a live official Wharton Doctoral Programs page describing a currently-offered standalone 'PhD in Applied Economics' that 'combin[es] the faculties of the departments of Real Estate and Business Economics & Public Policy' — name and joint-department claim both check out. Faculty URL i
,A-verified,wustl,wustl-olin-busecon,PhD in Business Economics (Olin Business School),Olin Business School,business-econ,https://olin.washu.edu/programs/doctoral/phd/phd-in-business-economics.php,https://olin.washu.edu/programs/doctoral/placements.php,https://olin.washu.edu/faculty-and-research/faculty-directory/index.php,"Fetched all three URLs. Evidence page is an official olin.washu.edu page titled 'PhD in Business Economics', a currently-offered standalone doctoral program (one of seven Olin PhD areas, not a track of the Arts & Sciences Economics PhD). Page confirms mandatory math camp offered through the Economic"
,A-verified,arizona_state,arizona_state-agribusiness,PhD in Business Administration (Agribusiness),"Morrison School of Agribusiness, W. P. Carey School of Business",ag-resource-econ,https://wpcarey.asu.edu/agribusiness-degrees/doctoral,https://wpcarey.asu.edu/agribusiness-degrees/phd-placement-data,https://wpcarey.asu.edu/people/departments/morrison-agribusiness,"Fetched all three URLs. Evidence page is live and official: describes a currently-offered, STEM-designated doctoral program housed in the Morrison School of Agribusiness within W. P. Carey, with the claimed econ core (microeconomic theory, mathematical economics, applied econometrics). It is a stand"
,A-verified,berkeley,berkeley-are,PhD in Agricultural and Resource Economics,"Department of Agricultural & Resource Economics, Rausser College of Natural Resources",ag-resource-econ,https://are.berkeley.edu/graduate-program,https://are.berkeley.edu/job-candidates/past-placements,https://are.berkeley.edu/people/faculty,"All three URLs fetched and verified. Evidence page is the official ARE graduate-program page describing an active doctoral program in the Department of Agricultural & Resource Economics, Rausser College of Natural Resources; no sign of discontinuation. Placement page shows 'ARE Doctoral Job Placemen"
,A-verified,maryland,maryland-arec,PhD in Agricultural and Resource Economics (AREC),"Department of Agricultural & Resource Economics, College of Agriculture and Natural Resources",ag-resource-econ,https://www.arec.umd.edu/graduate/phd,https://www.arec.umd.edu/graduate/recent-placements,https://www.arec.umd.edu/faculty,"All checks pass. Evidence URL is the official AREC PhD page (arec.umd.edu) describing a currently offered PhD in Agricultural and Resource Economics in the Department of Agricultural & Resource Economics, College of Agriculture and Natural Resources (42+ credit hours, four-course specialization, dis"
,A-verified,minnesota,minnesota-apec,PhD in Applied Economics,"Department of Applied Economics, College of Food, Agricultural and Natural Resource Sciences (CFANS)",ag-resource-econ,https://apec.umn.edu/graduate/phd,https://apec.umn.edu/graduate/placement-recent-graduates,https://apec.umn.edu/faculty,"All three URLs fetched and verified. Evidence page is the official apec.umn.edu PhD page describing a standalone, STEM-designated Ph.D. in Applied Economics ('core coursework in economic theory, quantitative methods, and two fields of specialization'; expected 8 semesters), housed in the Department "
,A-verified,penn_state,penn_state-eefe,"PhD in Energy, Environmental, and Food Economics (EEFE)","Department of Agricultural Economics, Sociology, and Education, College of Agricultural Sciences",ag-resource-econ,https://aese.psu.edu/graduate/eefe/doctor-of-philosophy-ph-d,https://aese.psu.edu/graduate/eefe/doctor-of-philosophy-ph-d/ph-d-job-placements,https://aese.psu.edu/directory/faculty,"Evidence URL fetched: official aese.psu.edu page describing a currently-offered standalone Ph.D. in Energy, Environmental, and Food Economics with three fields of concentration, housed in AESE / College of Agricultural Sciences — name and department match the claim. Placement URL fetched: shows a pl"
,A-verified,uc_davis,uc_davis-are,PhD in Agricultural and Resource Economics,"Department of Agricultural and Resource Economics, College of Agricultural and Environmental Sciences",ag-resource-econ,https://are.ucdavis.edu/phd/,https://are.ucdavis.edu/phd/past-placements/,https://are.ucdavis.edu/people/faculty/,"All checks pass (verified 2026-07-14). (a) Evidence URL is an official UC Davis ARE department page titled 'Ph.D. - Agricultural and Resource Economics, UC Davis'. (b) Currently-offered PhD: page actively describes the program ('one of the world's top graduate programs in agricultural economics, dev"
,A-verified,uiuc,uiuc-ace-agappecon,PhD in Agricultural and Applied Economics,"Department of Agricultural and Consumer Economics, College of Agricultural, Consumer and Environmental Sciences (ACES)",ag-resource-econ,https://ace.illinois.edu/academics/graduate-degrees/doctor-philosophy-agricultural-and-applied-economics,https://ace.illinois.edu/academics/graduate-degrees/doctor-philosophy-agricultural-and-applied-economics/phd-placements,https://ace.illinois.edu/directory/faculty,"Evidence URL fetched: official ace.illinois.edu page titled 'Doctor of Philosophy in Agricultural and Applied Economics', a currently-offered, STEM-designated doctoral program with its own admissions and milestones (core courses, prelims, dissertation), in the Department of Agricultural and Consumer"
,A-verified,wisconsin,wisconsin-aae,PhD in Agricultural and Applied Economics,"Department of Agricultural and Applied Economics, College of Agricultural & Life Sciences",ag-resource-econ,https://aae.wisc.edu/grad/phd/,https://aae.wisc.edu/grad/placement/,https://aae.wisc.edu/faculty/,"All checks pass. Evidence URL is the official AAE PhD page (currently offered, 51-credit doctoral program using the Economics dept core plus AAE applied fields, College of Agricultural & Life Sciences). Placement URL shows detailed PhD placements by year 2000-2026 (e.g., 2026: postdoc MIT then Asst "
,A-verified,yale,yale-yse-enre,PhD in Environment - Environmental and Natural Resource Economics (ENRE),Yale School of the Environment,ag-resource-econ,https://resources.environment.yale.edu/groups/enre/phd-opportunities/,https://resources.environment.yale.edu/groups/enre/alumni/,https://resources.environment.yale.edu/groups/enre/faculty/,"Evidence URL verified: official YSE page confirming environmental economics faculty accept students into the YSE doctoral program (degree conferred through Yale GSAS), with an active curriculum taken partly alongside Economics PhD students — a real, currently offered doctoral pathway separate from t"
,A-verified,chicago,chicago-harris-publicpolicy,PhD in Public Policy (Harris School of Public Policy),Harris School of Public Policy,policy-econ,https://harris.uchicago.edu/academics/degrees/phd,https://harris.uchicago.edu/findtalent/phdsonthejobmarket/previous-placements,https://harris.uchicago.edu/directory,"Evidence page fetched: official Harris page describing a currently-offered PhD in Public Policy with its own admissions; the micro/econometrics/political-economy core quote verified. Faculty URL fetched: functioning Harris directory with faculty roster and role filters (e.g., Scott Ashworth, Katheri"
,A-verified,chicago,chicago-political-economy,PhD in Political Economy (Harris School + Department of Political Science),Harris School of Public Policy and Department of Political Science (Division of the Social Sciences),policy-econ,https://politicaleconomy.uchicago.edu/,,https://politicaleconomy.uchicago.edu/faculty,"Evidence page fetched: official uchicago.edu subdomain describing an active joint PhD with faculty from Political Science and Harris and a single direct application. Faculty URL fetched: genuine roster of 24+ faculty (Ashworth, Berry, Blattman, Myerson, Robinson; Gehlbach listed as program director)"
,A-verified,columbia,columbia-sipa-sustdev,PhD in Sustainable Development (SIPA),School of International and Public Affairs (SIPA); degree conferred by GSAS,policy-econ,https://www.sipa.columbia.edu/sipa-education/phd-sustainable-development,https://www.sipa.columbia.edu/sipa-education/doctoral-program/alumni-placements,,"Direct fetches of sipa.columbia.edu return HTTP 403 (Cloudflare bot-blocking, not a 404), so verified via Google-indexed official SIPA pages with exact URL/title matches. Evidence URL confirmed to exist as 'PhD In Sustainable Development | Columbia SIPA'; program details independently confirmed from"
,A-verified,harvard,harvard-hks-ppol,PhD in Public Policy (PPOL),Harvard Kennedy School,policy-econ,https://www.hks.harvard.edu/educational-programs/doctoral-programs/phd-public-policy,https://www.hks.harvard.edu/educational-programs/doctoral-programs/phd-public-policy/ppol-phd-dissertations-and-job-placements,https://www.hks.harvard.edu/faculty-profiles,"All three URLs fetched successfully. Evidence URL: official HKS page for a currently-offered PhD in Public Policy with four tracks (Economics; Judgment and Decision Making; Politics and Institutions; Science, Technology and Policy Studies), applications submitted via Harvard Griffin GSAS. Placement "
,A-verified,berkeley,berkeley-health-policy,PhD in Health Policy,School of Public Health (Health Policy and Management Division),health-econ,https://publichealth.berkeley.edu/academics/programs/health-policy-phd,,,"Program confirmed on the official Berkeley Public Health page: standalone, quantitatively oriented PhD with its own admissions (~85 applications/year, ~8 offers, ~4 matriculants, 10% acceptance rate), degree granted by the Graduate Division. All three claimed specialty tracks verified (Health Econom"
,A-verified,harvard,harvard-health-policy,PhD in Health Policy (Economics concentration),"Harvard-wide interfaculty program (FAS, HBS, HKS, HLS, HMS, Harvard Chan School; degree via Harvard Griffin GSAS)",health-econ,https://gsas.harvard.edu/program/health-policy,https://healthpolicy.fas.harvard.edu/alumni,https://healthpolicy.fas.harvard.edu/faculty,"Evidence URL fetched: official Harvard Griffin GSAS page for a currently-offered PhD in Health Policy; concentrations confirmed as Decision Sciences | Economics | Management | Methods for Policy Research | Political Analysis; participating schools confirmed as FAS, HBS, HKS, HLS, HMS, Harvard T.H. C"
,A-verified,minnesota,minnesota-hsrpa,"PhD in Health Services Research, Policy & Administration (HSRP&A)","Division of Health Policy and Management, School of Public Health",health-econ,https://www.sph.umn.edu/academics/graduate/phd/hsrpa/,,https://directory.sph.umn.edu/division/health-policy-management,"Evidence URL fetched and verified: official SPH page for a currently-offered, standalone 'Health Services Research, Policy & Administration PhD' housed in the Division of Health Policy and Management — name and department as claimed. The main page says 'six areas of emphasis' without listing them, s"
,A-verified,penn_state,penn_state-hpa-health-policy,PhD in Health Policy and Administration,"Department of Health Policy and Administration, College of Health and Human Development",health-econ,https://hhd.psu.edu/hpa/graduate/phd-health-policy-and-administration,https://hhd.psu.edu/hpa/graduate/phd-health-policy-and-administration/placements,https://hhd.psu.edu/hpa/graduate/phd-health-policy-and-administration/phd-program-faculty,"Evidence URL fetched: official hhd.psu.edu page describing a currently-offered standalone Ph.D. in Health Policy and Administration (STEM-designated as of Summer 2025) in the Department of Health Policy and Administration, College of Health and Human Development — name and department match. Page con"
,A-verified,stanford,stanford-health-policy,PhD in Health Policy,"Department of Health Policy, Stanford School of Medicine (joint with Freeman Spogli Institute)",health-econ,https://healthpolicy.fsi.stanford.edu/content/phd-health-policy,https://healthpolicy.fsi.stanford.edu/job-market-placement,https://healthpolicy.fsi.stanford.edu/content/phd-faculty,"Fetched all three URLs. Evidence page is official (healthpolicy.fsi.stanford.edu), describes a currently offered standalone 'PhD in Health Policy' with its own admissions (page references the closed 2026-27 application cycle) and three tracks, one of which is Health Economics. Department naming veri"
,A-verified,unc,unc-hpm,PhD in Health Policy and Management,"Department of Health Policy and Management, Gillings School of Global Public Health",health-econ,https://sph.unc.edu/hpm/hpm-degrees-and-certificates/hpm-doctor-of-philosophy-phd-residential/,https://sph.unc.edu/hpm/hpm-phd-graduates-list/,https://sph.unc.edu/hpm/hpm-faculty-and-staff/,"All three URLs fetched and verified. Evidence page is the official Gillings page for the residential 'Doctor of Philosophy (PhD)' in Health Policy and Management — a currently-offered, standalone doctoral program with its own admissions (Fall 2027 cycle referenced) and department funding, not a trac"
,A-verified,upenn,upenn-wharton-hcmg,PhD in Health Care Management & Economics (Wharton),The Wharton School — Health Care Management Department,health-econ,https://hcmg.wharton.upenn.edu/programs/phd/,https://doctoral.wharton.upenn.edu/career-placement/,https://hcmg.wharton.upenn.edu/faculty/faculty-list/,"Evidence URL is a live official Wharton Health Care Management department page describing a currently-offered standalone 'PhD program in Health Care Management and Economics' with its own admissions, providing 'rigorous training in applied economics and management coupled with advanced training in h"
,A-verified,yale,yale-ysph-hpm,PhD in Health Policy and Management (Economics track),"Yale School of Public Health, Department of Health Policy and Management",health-econ,https://ysph.yale.edu/school-of-public-health/graduate-programs/phd-degree/health-policy-management/,,https://ysph.yale.edu/school-of-public-health-faculty/health-policy-and-management/,"Evidence URL verified: official YSPH page for the PhD in Health Policy and Management, currently offered (degree requirements posted for 2026-27 matriculation), typically 4-5 years. Page confirms exactly three specializations — Economics (microeconomics + econometrics plus field courses in behaviora"
,A-verified,columbia,columbia-tc-econ-education,PhD in Economics and Education (Teachers College),"Teachers College, Department of Education Policy & Social Analysis (EPSA)",education-econ,https://www.tc.columbia.edu/education-policy-and-social-analysis/economics-and-education/degrees--requirements/economics-and-education-phd/,https://www.tc.columbia.edu/education-policy-and-social-analysis/economics-and-education/alumni/alumni-employment-outcomes/,https://www.tc.columbia.edu/education-policy-and-social-analysis/economics-and-education/faculty/,"Evidence URL fetched directly and confirmed: official TC page for a currently-offered, full-time, 75-point PhD in Economics and Education within EPSA; Fall entry only, Dec 1, 2025 application deadline; Program Director Alex Eble — matching all claimed details. Faculty URL fetched and confirmed as a "
,A-verified,berkeley,berkeley-haas-realestate,PhD in Business Administration — Real Estate field (Haas),Haas School of Business,real-estate-econ,https://haas.berkeley.edu/phd/academics/real-estate/,https://haas.berkeley.edu/phd/academics/real-estate/placement/,https://haas.berkeley.edu/realestate/faculty/,"Real, separately-applied Haas PhD field, but three fixes. (1) Name corrected: dropped 'Urban Economics track' from the program name — the page states students select one of the two tracks (Finance or Urban Economics) in their SECOND SEMESTER, so admission is to the Real Estate field, not to a track."
,A-verified,wisconsin,wisconsin-wsb-realestate,"Business: Real Estate and Urban Economics, PhD","Department of Real Estate and Urban Land Economics, Wisconsin School of Business",real-estate-econ,https://guide.wisc.edu/graduate/business-school-wide/business-phd/business-real-estate-urban-economics-phd/,https://business.wisc.edu/phd/placements/,https://business.wisc.edu/faculty-research/real-estate/faculty/,"All checks pass. Evidence URL is the official Graduate Guide page with the exact title 'Business: Real Estate and Urban Economics, PhD' (currently offered; 51 credits; Dec 15 fall deadline, no spring/summer admission; micro theory exam, second-year paper, prelim, dissertation). Also listed as a dist"
,A-verified,berkeley,berkeley-gspp,PhD in Public Policy (Goldman School),Goldman School of Public Policy,borderline,https://gspp.berkeley.edu/programs/doctoral-program-phd,,https://gspp.berkeley.edu/research-and-impact/faculty,"Program confirmed: official GSPP doctoral page describes an active, standalone social-science policy PhD admitting 'usually only two or three' applicants per year (matches the claim), training social science researchers with no fixed disciplinary base. Faculty directory verified (Hoynes, Miguel, Anz"
,A-verified,brown,brown-hsr,PhD in Health Services Research,"Department of Health Services, Policy & Practice, School of Public Health",borderline,https://hspp.sph.brown.edu/academics/doctorate,,https://hspp.sph.brown.edu/people/faculty,"Evidence URL verified: official Brown HSPP page describing the 'Ph.D. in Health Services Research', actively recruiting with five years of guaranteed funding, and listing exactly the three claimed focus areas ('Pharmacoepidemiology and Pharmaceutical Health Services Research, Health Economics, and C"
,A-verified,caltech,caltech-sdn,PhD in Social and Decision Neuroscience (SDN),"Division of the Humanities and Social Sciences (HSS), T&C Chen Center for Social and Decision Neuroscience",borderline,https://www.hss.caltech.edu/graduate-studies/social-and-decision-neuroscience-phd-program,https://www.hss.caltech.edu/graduate-studies/alumni,https://www.hss.caltech.edu/graduate-studies/social-and-decision-neuroscience-phd-program/faculty,All checks pass. Evidence URL is a live official Caltech HSS page describing the 'Social and Decision Neuroscience PhD Program' as a standalone PhD in the Division of the Humanities and Social Sciences with its own dedicated Requirements/Admissions/Faculty pages — not a track of the Social Sciences 
,A-verified,chicago,chicago-booth-finecon,Joint PhD Program in Financial Economics (Booth + Kenneth C. Griffin Department of Economics),Chicago Booth School of Business and Kenneth C. Griffin Department of Economics,borderline,https://financialeconomics.uchicago.edu/,https://financialeconomics.uchicago.edu/employment-after-graduation/,,"Evidence page fetched: official uchicago.edu subdomain confirming the joint program 'was established in 2006 and is run jointly by the Finance dissertation area at Chicago Booth and the Kenneth C. Griffin Department of Economics' and is currently active (current students, recent graduates listed). A"
,A-verified,chicago,chicago-booth-econometrics-stats,PhD in Econometrics and Statistics (Chicago Booth Stevens Doctoral Program),University of Chicago Booth School of Business,borderline,https://www.chicagobooth.edu/phd/dissertation-areas/econometrics-and-statistics,https://www.chicagobooth.edu/phd/career-outcomes,,"Evidence page fetched: official chicagobooth.edu page describing a currently-offered Econometrics and Statistics dissertation area within the Stevens Doctoral Program; topics match the claim (econometrics, causal inference, financial econometrics, Bayesian stats, ML). Placement URL fetched: career-o"
,A-verified,harvard,harvard-gse-education,PhD in Education (Education Policy and Program Evaluation concentration),Harvard Graduate School of Education (degree via Harvard Griffin GSAS),borderline,https://www.gse.harvard.edu/degrees/phd,,https://www.gse.harvard.edu/degrees/phd/faculty,"Evidence URL fetched: official HGSE page for a currently-offered Ph.D. in Education, 'Offered jointly by the Harvard Graduate School of Education and the Harvard Kenneth C. Griffin Graduate School of Arts and Sciences', with three concentrations including Education Policy and Program Evaluation (EPP"
,A-verified,minnesota,minnesota-humphrey-pubaff,PhD in Public Affairs,Hubert H. Humphrey School of Public Affairs,borderline,https://www.hhh.umn.edu/doctor-philosophy-phd-public-affairs,,https://www.hhh.umn.edu/directory,"Evidence URL fetched and verified: official Humphrey School page for a currently-offered, standalone (highly selective) PhD in Public Affairs with exactly the four claimed specializations (Public Policy; Urban Planning; Management and Governance; Science, Technology, and Environmental Policy) and no"
,A-verified,northwestern,northwestern-sesp-hdsp,PhD in Human Development and Social Policy (HDSP),School of Education and Social Policy (SESP),borderline,https://sesp.northwestern.edu/graduate-professional/human-development-social-policy/phd-human-development-and-social-policy/,https://sesp.northwestern.edu/graduate-professional/human-development-social-policy/phd-alumni.html,https://sesp.northwestern.edu/graduate-professional/human-development-social-policy/faculty.html,"All three URLs verified. Evidence URL is an official SESP page describing a currently-offered 'PhD in Human Development & Social Policy' at Northwestern's School of Education and Social Policy, explicitly interdisciplinary and drawing on economics among anthropology, political science, psychology, a"
,A-verified,nyu,nyu-wagner-public-admin,PhD in Public Administration (Wagner),Robert F. Wagner Graduate School of Public Service,borderline,https://bulletins.nyu.edu/graduate/public-service/programs/public-administration-phd/,https://wagner.nyu.edu/education/degrees/doctorate-public-administration/alumni,https://wagner.nyu.edu/community/faculty/directory,Program is real and currently offered; corrected by filling the previously-null faculty and placement URLs. Checks (2026-07-14): (1) Bulletin evidence URL verified — official NYU page describing the currently-offered 72-credit PhD in Public Administration at Wagner with two fields from Management/Pu
,A-verified,princeton,princeton-spia-publicaffairs,PhD in Public Affairs (SPIA),Princeton School of Public and International Affairs (SPIA),borderline,https://spia.princeton.edu/graduate-admissions/phd-public-affairs,,https://spia.princeton.edu/research-faculty-centers/faculty-directory,"Evidence URL fetched live: official SPIA page describing a currently-offered Ph.D. in Public Affairs, two clusters (Security Studies; STEP), ~8 students/year, Dec 1 deadline, full funding — name and school stated exactly as claimed. Faculty directory URL fetched live: official SPIA roster showing 25"
,A-verified,princeton,princeton-opr-popstudies,PhD in Population Studies (PIPS),"Office of Population Research (OPR), Princeton University",borderline,https://opr.princeton.edu/graduate-program/phd-population-studies-pips,https://opr.princeton.edu/people/alumni,https://opr.princeton.edu/people/faculty,"All three opr.princeton.edu URLs return HTTP 403 to automated fetchers (both WebFetch and curl with browser UA), as the claiming agent noted; gradschool.princeton.edu also 403s. Independently verified via Wayback Machine snapshots: evidence URL (snapshot 2025-09-11) is the official 'Ph.D. in Populat"
,A-verified,rochester,rochester-health-services-research,PhD in Health Services Research and Policy,"Department of Public Health Sciences, School of Medicine and Dentistry (URMC)",borderline,https://www.urmc.rochester.edu/education/graduate/phd/health-services-research-policy/about-the-program,,https://www.urmc.rochester.edu/education/graduate/phd/health-services-research-policy/faculty-students/faculty,"All checks pass. (a) evidence_url is a live official URMC page titled 'About the Program - Health Services Research and Policy - Doctor of Philosophy (Ph.D.)'. (b) It is a distinct, currently-offered standalone PhD (not a master's or a track of the econ PhD); admissions are paused for the 2025-2026 "
,A-verified,ucla,ucla-fielding-hpm,PhD in Health Policy and Management,"Department of Health Policy and Management, UCLA Fielding School of Public Health",borderline,https://ph.ucla.edu/degree-programs/doctorate-philosophy/phd-health-policy-and-management,,https://ph.ucla.edu/about/faculty-staff-directory?type=faculty&department%5B0%5D=89&page=1,"Evidence URL fetched: official UCLA Fielding School of Public Health page describing a currently-offered Doctor of Philosophy in Health Policy and Management (17 courses/70 units, written qualifying exam, dissertation; master's degree with 3.5+ GPA recommended for admission) — a genuine standalone P"
,A-verified,ucsd,ucsd-rady-mgmt,PhD in Management (Economics and Strategy area),Rady School of Management,borderline,https://rady.ucsd.edu/programs/phd/index.html,https://rady.ucsd.edu/programs/phd/phd-alumni.html,https://rady.ucsd.edu/programs/phd/faculty-research.html,"All checks pass. (a) Evidence URL is the official Rady School of Management PhD page at rady.ucsd.edu and loads correctly. (b) It describes a currently offered, full-time doctoral program with its own Rady admissions (4-5 years to degree), not a track of the Economics Department PhD and not a master"
,A-verified,unc,unc-publicpolicy,PhD in Public Policy,"Department of Public Policy, College of Arts and Sciences",borderline,https://publicpolicy.unc.edu/ph-d/,https://publicpolicy.unc.edu/academics/graduate-program/job-market-candidates/,https://publicpolicy.unc.edu/who-we-are/core-faculty/,"All three URLs fetched and verified. Evidence page is the official UNC Department of Public Policy Ph.D. page in the College of Arts and Sciences; program is currently offered and standalone (not a track of the econ PhD), hosting 'approximately thirty students' — matching the claimed ~30. Listed pol"
